Chemin,Format,Train_Test,Classe,Nom,Type,Largeur,Hauteur,Canaux,Doute_Carre
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230315163004_0067_T_000005.png,110x60,test,substring open circuit,DJI_20230315163004_0067_T_000005,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230325145413_0573_T_000004.png,110x60,test,substring open circuit,DJI_20230325145413_0573_T_000004,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230325145413_0573_T_000005.png,110x60,test,substring open circuit,DJI_20230325145413_0573_T_000005,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230325153458_0195_T_000001.png,110x60,test,substring open circuit,DJI_20230325153458_0195_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230407104501_0762_T_000002.png,110x60,test,substring open circuit,DJI_20230407104501_0762_T_000002,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230407105724_0227_T_000003.png,110x60,test,substring open circuit,DJI_20230407105724_0227_T_000003,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230407111302_0695_T_000002.png,110x60,test,substring open circuit,DJI_20230407111302_0695_T_000002,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230407143219_0055_T_000001.png,110x60,test,substring open circuit,DJI_20230407143219_0055_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230407151828_0508_T_000001.png,110x60,test,substring open circuit,DJI_20230407151828_0508_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230407154337_0395_T_000002.png,110x60,test,substring open circuit,DJI_20230407154337_0395_T_000002,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230407154337_0395_T_000003.png,110x60,test,substring open circuit,DJI_20230407154337_0395_T_000003,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230407155314_0683_T_000003.png,110x60,test,substring open circuit,DJI_20230407155314_0683_T_000003,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230407155314_0683_T_000007.png,110x60,test,substring open circuit,DJI_20230407155314_0683_T_000007,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230411121908_0677_T_000001.png,110x60,test,substring open circuit,DJI_20230411121908_0677_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230411134447_0563_T_000003.png,110x60,test,substring open circuit,DJI_20230411134447_0563_T_000003,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230411162251_0065_T_000002.png,110x60,test,substring open circuit,DJI_20230411162251_0065_T_000002,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230411163335_0387_T_000001.png,110x60,test,substring open circuit,DJI_20230411163335_0387_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231114123044_0430_T_000001.png,110x60,test,substring open circuit,DJI_20231114123044_0430_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231114123108_0442_T_000004.png,110x60,test,substring open circuit,DJI_20231114123108_0442_T_000004,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231114123602_0586_T_000001.png,110x60,test,substring open circuit,DJI_20231114123602_0586_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231114125437_0360_T_000001.png,110x60,test,substring open circuit,DJI_20231114125437_0360_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231114130054_0545_T_000002.png,110x60,test,substring open circuit,DJI_20231114130054_0545_T_000002,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231114130243_0598_T_000001.png,110x60,test,substring open circuit,DJI_20231114130243_0598_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231114130950_0063_T_000001.png,110x60,test,substring open circuit,DJI_20231114130950_0063_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231114131012_0074_T_000002.png,110x60,test,substring open circuit,DJI_20231114131012_0074_T_000002,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231114131601_0245_T_000004.png,110x60,test,substring open circuit,DJI_20231114131601_0245_T_000004,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231114133137_0034_T_000002.png,110x60,test,substring open circuit,DJI_20231114133137_0034_T_000002,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231114133147_0039_T_000001.png,110x60,test,substring open circuit,DJI_20231114133147_0039_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231114133538_0152_T_000001.png,110x60,test,substring open circuit,DJI_20231114133538_0152_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231114134025_0293_T_000001.png,110x60,test,substring open circuit,DJI_20231114134025_0293_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231114135828_0103_T_000003.png,110x60,test,substring open circuit,DJI_20231114135828_0103_T_000003,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231114140237_0225_T_000001.png,110x60,test,substring open circuit,DJI_20231114140237_0225_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231114142329_0319_T_000002.png,110x60,test,substring open circuit,DJI_20231114142329_0319_T_000002,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231114142443_0355_T_000001.png,110x60,test,substring open circuit,DJI_20231114142443_0355_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231114153843_0400_T_000002.png,110x60,test,substring open circuit,DJI_20231114153843_0400_T_000002,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231116132122_0158_T_000001.png,110x60,test,substring open circuit,DJI_20231116132122_0158_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231116141852_0126_T_000001.png,110x60,test,substring open circuit,DJI_20231116141852_0126_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231116154008_0174_T_000001.png,110x60,test,substring open circuit,DJI_20231116154008_0174_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231116154020_0180_T_000001.png,110x60,test,substring open circuit,DJI_20231116154020_0180_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231116154047_0193_T_000001.png,110x60,test,substring open circuit,DJI_20231116154047_0193_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231116154213_0236_T_000001.png,110x60,test,substring open circuit,DJI_20231116154213_0236_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231116160318_0312_T_000001.png,110x60,test,substring open circuit,DJI_20231116160318_0312_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231116162215_0182_T_000001.png,110x60,test,substring open circuit,DJI_20231116162215_0182_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231116162835_0370_T_000004.png,110x60,test,substring open circuit,DJI_20231116162835_0370_T_000004,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231116162853_0379_T_000006.png,110x60,test,substring open circuit,DJI_20231116162853_0379_T_000006,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20231116162954_0409_T_000001.png,110x60,test,substring open circuit,DJI_20231116162954_0409_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20230222141506_0927_T_000002.png,110x60,test,short circuit panel,DJI_20230222141506_0927_T_000002,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20230222142952_0431_T_000005.png,110x60,test,short circuit panel,DJI_20230222142952_0431_T_000005,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20230223133839_0205_T_000001.png,110x60,test,short circuit panel,DJI_20230223133839_0205_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231110100713_0026_T_000005.png,110x60,test,short circuit panel,DJI_20231110100713_0026_T_000005,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231110100837_0031_T_000005.png,110x60,test,short circuit panel,DJI_20231110100837_0031_T_000005,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231114120122_0420_T_000001.png,110x60,test,short circuit panel,DJI_20231114120122_0420_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231114142146_0268_T_000002.png,110x60,test,short circuit panel,DJI_20231114142146_0268_T_000002,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231114142437_0352_T_000005.png,110x60,test,short circuit panel,DJI_20231114142437_0352_T_000005,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231114142942_0501_T_000004.png,110x60,test,short circuit panel,DJI_20231114142942_0501_T_000004,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231114142950_0505_T_000003.png,110x60,test,short circuit panel,DJI_20231114142950_0505_T_000003,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231114142950_0505_T_000010.png,110x60,test,short circuit panel,DJI_20231114142950_0505_T_000010,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231114143009_0515_T_000007.png,110x60,test,short circuit panel,DJI_20231114143009_0515_T_000007,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231114143016_0518_T_000002.png,110x60,test,short circuit panel,DJI_20231114143016_0518_T_000002,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231114143022_0521_T_000009.png,110x60,test,short circuit panel,DJI_20231114143022_0521_T_000009,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231114143032_0526_T_000015.png,110x60,test,short circuit panel,DJI_20231114143032_0526_T_000015,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231114143704_0002_T_000004.png,110x60,test,short circuit panel,DJI_20231114143704_0002_T_000004,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231114143704_0002_T_000013.png,110x60,test,short circuit panel,DJI_20231114143704_0002_T_000013,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231114143709_0005_T_000002.png,110x60,test,short circuit panel,DJI_20231114143709_0005_T_000002,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231114143709_0005_T_000004.png,110x60,test,short circuit panel,DJI_20231114143709_0005_T_000004,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231114143709_0005_T_000017.png,110x60,test,short circuit panel,DJI_20231114143709_0005_T_000017,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231114143709_0005_T_000018.png,110x60,test,short circuit panel,DJI_20231114143709_0005_T_000018,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231114143709_0005_T_000019.png,110x60,test,short circuit panel,DJI_20231114143709_0005_T_000019,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231114143718_0009_T_000016.png,110x60,test,short circuit panel,DJI_20231114143718_0009_T_000016,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231114143724_0012_T_000001.png,110x60,test,short circuit panel,DJI_20231114143724_0012_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231114143724_0012_T_000014.png,110x60,test,short circuit panel,DJI_20231114143724_0012_T_000014,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231114143730_0015_T_000010.png,110x60,test,short circuit panel,DJI_20231114143730_0015_T_000010,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231114143730_0015_T_000013.png,110x60,test,short circuit panel,DJI_20231114143730_0015_T_000013,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231116162123_0156_T_000005.png,110x60,test,short circuit panel,DJI_20231116162123_0156_T_000005,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231116162159_0174_T_000003.png,110x60,test,short circuit panel,DJI_20231116162159_0174_T_000003,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231116162205_0177_T_000006.png,110x60,test,short circuit panel,DJI_20231116162205_0177_T_000006,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231116162334_0221_T_000005.png,110x60,test,short circuit panel,DJI_20231116162334_0221_T_000005,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231116162853_0379_T_000003.png,110x60,test,short circuit panel,DJI_20231116162853_0379_T_000003,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231116162859_0382_T_000010.png,110x60,test,short circuit panel,DJI_20231116162859_0382_T_000010,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231116162859_0382_T_000011.png,110x60,test,short circuit panel,DJI_20231116162859_0382_T_000011,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231116162911_0388_T_000004.png,110x60,test,short circuit panel,DJI_20231116162911_0388_T_000004,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231116162911_0388_T_000008.png,110x60,test,short circuit panel,DJI_20231116162911_0388_T_000008,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231116162911_0388_T_000009.png,110x60,test,short circuit panel,DJI_20231116162911_0388_T_000009,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231116163010_0417_T_000003.png,110x60,test,short circuit panel,DJI_20231116163010_0417_T_000003,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231116163123_0453_T_000006.png,110x60,test,short circuit panel,DJI_20231116163123_0453_T_000006,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231116163123_0453_T_000013.png,110x60,test,short circuit panel,DJI_20231116163123_0453_T_000013,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231121154135_0043_T_000003.png,110x60,test,short circuit panel,DJI_20231121154135_0043_T_000003,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\02short circuit panel\DJI_20231121155231_0351_T_000001.png,110x60,test,short circuit panel,DJI_20231121155231_0351_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\03string short circuit\DJI_20230223114327_0891_T_000001.png,110x60,test,string short circuit,DJI_20230223114327_0891_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\03string short circuit\DJI_20230223124129_0565_T_000004.png,110x60,test,string short circuit,DJI_20230223124129_0565_T_000004,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\03string short circuit\DJI_20230223125207_0709_T_000001.png,110x60,test,string short circuit,DJI_20230223125207_0709_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\03string short circuit\DJI_20230227153522_0135_T_000001.png,110x60,test,string short circuit,DJI_20230227153522_0135_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\03string short circuit\DJI_20230227163307_0255_T_000004.png,110x60,test,string short circuit,DJI_20230227163307_0255_T_000004,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\03string short circuit\DJI_20231114131228_0141_T_000003.png,110x60,test,string short circuit,DJI_20231114131228_0141_T_000003,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\03string short circuit\DJI_20231116162304_0206_T_000003.png,110x60,test,string short circuit,DJI_20231116162304_0206_T_000003,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230222140231_0707_T_000016.png,110x60,test,Debris cover,DJI_20230222140231_0707_T_000016,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230222150329_0573_T_000001.png,110x60,test,Debris cover,DJI_20230222150329_0573_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230223112102_0365_T_000005.png,110x60,test,Debris cover,DJI_20230223112102_0365_T_000005,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230223112107_0368_T_000006.png,110x60,test,Debris cover,DJI_20230223112107_0368_T_000006,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230223112133_0382_T_000007.png,110x60,test,Debris cover,DJI_20230223112133_0382_T_000007,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230223112141_0385_T_000008.png,110x60,test,Debris cover,DJI_20230223112141_0385_T_000008,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230223115203_0164_T_000011.png,110x60,test,Debris cover,DJI_20230223115203_0164_T_000011,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230223120307_0405_T_000007.png,110x60,test,Debris cover,DJI_20230223120307_0405_T_000007,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230223120509_0472_T_000004.png,110x60,test,Debris cover,DJI_20230223120509_0472_T_000004,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230223125644_0826_T_000005.png,110x60,test,Debris cover,DJI_20230223125644_0826_T_000005,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230227125558_0842_T_000015.png,110x60,test,Debris cover,DJI_20230227125558_0842_T_000015,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230227133536_0979_T_000009.png,110x60,test,Debris cover,DJI_20230227133536_0979_T_000009,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230228154554_0111_T_000003.png,110x60,test,Debris cover,DJI_20230228154554_0111_T_000003,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230302161210_0169_T_000008.png,110x60,test,Debris cover,DJI_20230302161210_0169_T_000008,.png,62,61,3,True
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230302162433_0433_T_000002.png,110x60,test,Debris cover,DJI_20230302162433_0433_T_000002,.png,60,60,3,True
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230302162433_0433_T_000009.png,110x60,test,Debris cover,DJI_20230302162433_0433_T_000009,.png,62,57,3,True
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230302162440_0437_T_000003.png,110x60,test,Debris cover,DJI_20230302162440_0437_T_000003,.png,59,57,3,True
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230302163842_0787_T_000008.png,110x60,test,Debris cover,DJI_20230302163842_0787_T_000008,.png,62,55,3,True
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230302163842_0787_T_000011.png,110x60,test,Debris cover,DJI_20230302163842_0787_T_000011,.png,62,63,3,True
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230302164314_0901_T_000003.png,110x60,test,Debris cover,DJI_20230302164314_0901_T_000003,.png,62,61,3,True
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230302164928_0983_T_000004.png,110x60,test,Debris cover,DJI_20230302164928_0983_T_000004,.png,60,63,3,True
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230302164928_0983_T_000007.png,110x60,test,Debris cover,DJI_20230302164928_0983_T_000007,.png,61,59,3,True
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230308155848_0020_T_000007.png,110x60,test,Debris cover,DJI_20230308155848_0020_T_000007,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230308160837_0121_T_000008.png,110x60,test,Debris cover,DJI_20230308160837_0121_T_000008,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230513132205_0401_T_000001.png,110x60,test,Debris cover,DJI_20230513132205_0401_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230513153916_0468_T_000003.png,110x60,test,Debris cover,DJI_20230513153916_0468_T_000003,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230513154236_0607_T_000003.png,110x60,test,Debris cover,DJI_20230513154236_0607_T_000003,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230513160139_0306_T_000001.png,110x60,test,Debris cover,DJI_20230513160139_0306_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230513160210_0327_T_000005.png,110x60,test,Debris cover,DJI_20230513160210_0327_T_000005,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230513160635_0509_T_000003.png,110x60,test,Debris cover,DJI_20230513160635_0509_T_000003,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230513160916_0620_T_000003.png,110x60,test,Debris cover,DJI_20230513160916_0620_T_000003,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230513161139_0718_T_000001.png,110x60,test,Debris cover,DJI_20230513161139_0718_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230513161142_0720_T_000002.png,110x60,test,Debris cover,DJI_20230513161142_0720_T_000002,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20230513161437_0842_T_000005.png,110x60,test,Debris cover,DJI_20230513161437_0842_T_000005,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20231114115140_0135_T_000001.png,110x60,test,Debris cover,DJI_20231114115140_0135_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20231114133651_0188_T_000001.png,110x60,test,Debris cover,DJI_20231114133651_0188_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20231121154207_0058_T_000001.png,110x60,test,Debris cover,DJI_20231121154207_0058_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20231121154408_0115_T_000001.png,110x60,test,Debris cover,DJI_20231121154408_0115_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20231121161712_0394_T_000003.png,110x60,test,Debris cover,DJI_20231121161712_0394_T_000003,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\04Debris cover\DJI_20231121161915_0452_T_000002.png,110x60,test,Debris cover,DJI_20231121161915_0452_T_000002,.png,60,110,3,False
